Symbol,Status,NextPayDate,DivYield,NextEstPayout,AnnualDividend,ExDiv
ABBV,Declared,2021-05-14,0.0482643400779654,1.3,4.84,2021-04-14
MRK,Declared,2021-04-07,0.0358028091434866,0.65,2.48,2021-03-12
PFE,Declared,2021-03-05,0.0465810689758136,0.39,1.14,2021-01-28
AVGO,Estimated,2021-03-31,0.0284,3.6,13.35,-
PEP,Declared,2021-03-31,0.0316587971205201,1.0225,4.0225,2021-03-04
TMO,Declared,2021-04-16,0.00231070031994312,0.26,0.88,2021-03-15
HBCYF,Declared,2021-04-29,0.100334448160535,0.15,0,-
NVO,Declared,2021-04-07,0.02664864,0.9493578,1.3003822,2021-03-26
ACN,Estimated,2021-05-12,0.0099,0.88,2.48,-
RDS-A,Declared,2021-03-29,0.0324640506946136,0.333,1.913,2021-02-18
MDT,Estimated,2021-04-15,0.0195,0.58,2.28,-
RDS-B,Declared,2021-03-29,0.0342592592592592,0.333,1.913,2021-02-18
MCD,Declared,2021-03-15,0.025031531968565,1.29,5.04,2021-02-26
TXN,Estimated,2021-05-08,0.0223,1.02,3.84,-
DHR,Declared,2021-04-30,0.0038239176947239,0.21,0.72,2021-03-25
WFC,Estimated,2021-06-01,0.0224,0.1,0.81,-
QCOM,Declared,2021-03-25,0.0190909758425728,0.65,2.57,2021-03-03
COST,Estimated,2021-05-19,0.0085,0.7,2.8,-
NEE,Declared,2021-03-15,0.0209580838323353,0.385,1.4,2021-02-25
HON,Declared,2021-03-12,0.0183839881393624,0.93,3.63,2021-02-25
MS,Estimated,2021-05-12,0.0182,0.35,1.4,-
C,Estimated,2021-05-26,0.031,0.51,2.04,-
UNP,Declared,2021-03-31,0.0188386094387259,0.97,3.88,2021-02-25
BMY,Declared,2021-05-03,0.0319582586010109,0.49,1.84,2021-03-31
UPS,Declared,2021-03-10,0.0258505987454856,1.02,4.04,2021-02-19
PM,Estimated,2021-04-11,0.0564,1.2,4.74,-
UNLYF,Declared,2021-03-17,0.0389023467070401,0.5139,1.85009999999999,-
AMGN,Declared,2021-03-08,0.031300017784101,1.76,6.4,2021-02-11
LIN,Declared,2021-03-22,0.0173578417325091,1.06,3.852,2021-03-04
ACGBY,Estimated,2021-08-17,0.0708,0.642192,0.642192,-
TOT,Estimated,2021-04-25,0.0667,0.8009072,3.0940943,-
RY,Declared,2021-05-21,0.0400329063344693,0.8516,3.2442,-
HSBC,Declared,2021-04-29,0.10097610232245,0.75,0,2021-03-11
SBUX,Declared,2021-03-05,0.0166620383226881,0.45,1.27,2021-02-17
CAT,Estimated,2021-05-19,0.0191,1.03,4.12,-
BPAQF,Declared,2021-03-26,0.0523690773067331,0.0525,0.315,-
DCMYY,Estimated,2021-06-07,0.0318,0.597728,1.156421,-
CMWAY,Declared,2021-04-09,0.0367647058823529,1.1625,1.915768,2021-02-19
LOW,Estimated,2021-05-03,0.0144,0.6,2.3,-
SNY,Estimated,2021-05-26,0.037,1.6993994,1.6993994,-
BHPBF,Declared,2021-03-23,0.0641269841269841,1.01,1.2,2021-03-04
SCHW,Estimated,2021-05-26,0.0117,0.18,0.72,-
GS,Declared,2021-03-30,0.0156504319519218,1.25,5,2021-03-01
TD,Declared,2021-04-30,0.0411197614709292,0.6206,2.35489999999999,-
RIO,Declared,2021-04-15,0.0707093821510297,3.09,3.86,2021-03-04
GE,Declared,2021-04-26,0.00318979266347687,0.01,0.04,2021-03-05
RTX,Declared,2021-03-25,0.0263925545214613,0.475,1.9,2021-02-25
AXP,Estimated,2021-05-10,0.0095,0.43,1.29,-
IBM,Declared,2021-03-10,0.0548221642983267,1.63,6.51,2021-02-09
DE,Declared,2021-05-10,0.0103116406966086,0.9,3.04,2021-03-30
BTAFF,Estimated,2021-05-03,0.077,0.7147,2.6951,-
INTU,Declared,2021-04-19,0.00604911057569077,0.59,2.24,2021-04-09
BLK,Declared,2021-03-23,0.0237868970482361,4.13,14.52,2021-03-04
EL,Declared,2021-03-15,0.00741621772895823,0.53,1.49,2021-02-25
AMAT,Declared,2021-03-18,0.00744563837888146,0.22,0.87,2021-02-24
BACHY,Estimated,2021-08-24,0.0772,0.67516,0.67516,-
MMM,Declared,2021-03-12,0.0338169770364446,1.48,5.88,2021-02-11
AMT,Estimated,2021-05-02,0.021,1.21,4.53,-
NTTYY,Estimated,2021-06-15,0.0354,0.4794868,0.924230099999999,-
ENLAY,Estimated,2021-08-11,0.0431,0.2115186,0.4055896,-
CSLLY,Declared,2021-04-12,0.010132501948558,0.52,0.996905,2021-03-03
SNPMF,Estimated,2020-12-19,0.0351,0.00789316375198728,0.0214,-
LMT,Declared,2021-03-26,0.0314912944738834,2.6,9.8,2021-02-26
DEO,Declared,2021-04-13,0.0194596170914162,1.53478,3.5549181,2021-02-25
TGT,Declared,2021-03-10,0.0148277365896205,0.68,2,2021-02-16
SYK,Declared,2021-04-30,0.0103836169599077,0.63,2.355,2021-03-30
CVS,Estimated,2021-05-01,0.0294,0.5,2,-
AZNCF,Declared,2021-03-29,0.0390544707091469,1.9,2.8,-
VALE,Declared,2021-03-22,0.0730176331360946,0.616999,0.249971,2021-03-05
BP,Declared,2021-03-26,0.0516181892666939,0.315,1.89,2021-02-18
GSK,Declared,2021-04-08,0.0747387087176435,0.627992,2.0504819,2021-02-18
FIS,Declared,2021-03-26,0.0113043478260869,0.39,1.4,2021-03-11
MO,Declared,2021-04-30,0.0788990825688073,0.86,3.4,2021-03-24
SBRCY,Estimated,2021-10-30,0.067,0.946210910275941,0.9758643,-
BTI,Declared,2021-05-17,0.0851330290929834,0.746191,2.738723,2021-03-25
TJX,Declared,2021-03-04,0.0157599636308531,0.26,0.23,2021-02-10
SPGI,Declared,2021-03-10,0.00935146951663832,0.77,2.68,2021-02-23
TFC,Estimated,2021-06-01,0.0395,0.45,2.25,-
GILD,Declared,2021-03-30,0.0462540716612377,0.71,2.72,2021-03-12
CNI,Declared,2021-03-31,0.0174387120380534,0.4766,1.74109999999999,-
LRCX,Declared,2021-04-07,0.00916800366720146,1.3,4.9,2021-03-16
USB,Estimated,2021-04-15,0.0336,0.42,1.68,-
MDLZ,Declared,2021-04-14,0.0237020316027088,0.315,1.2,2021-03-30
BASFY,Estimated,2021-07-06,0.0455,0.932827,0.932827,-
CI,Declared,2021-03-25,0.0190566936636493,1,0.04,2021-03-09
ADP,Declared,2021-04-01,0.0213768532352603,0.93,3.66,2021-03-11
PLD,Declared,2021-03-31,0.0254365600080751,0.63,2.32,2021-03-18
CB,Declared,2021-04-09,0.0191905523434616,0.78,3.09,2021-03-18
ATVI,Declared,2021-05-06,0.00491580378621483,0.47,0.41,2021-04-14
ANTM,Declared,2021-03-25,0.0149081434084237,1.13,3.8,2021-03-09
CME,Declared,2021-03-25,0.0180270405608412,0.9,3.4,2021-03-09
PNC,Estimated,2021-05-05,0.0273,1.15,4.6,-
KDDIY,Estimated,2021-06-17,0.0362,0.286442,0.566828,-
BNS,Declared,2021-04-28,0.048179790701664,0.7021,2.6728,-
AIQUY,Declared,2021-06-14,0.0221867509986684,0.66649,0.5847442,2021-05-13
COP,Estimated,2021-06-01,0.0408,0.43,2.12,-
BDX,Declared,2021-03-31,0.0137673647107609,0.83,3.2,2021-03-09
ATLKY,Declared,2021-05-11,0.0152485714285714,0.437634,0.769279,2021-04-28
ENB,Estimated,2021-06-01,0.0728,0.6543,2.4599,-
NTES,Declared,2021-03-26,0.00218479745106964,0.06,0.927999999999999,2021-03-11
CSX,Declared,2021-03-15,0.0122337520480611,0.28,1.04,2021-02-25
OGZPY,Estimated,2021-08-18,0.0717,0.33831173780287,0.412966,-
NSC,Declared,2021-03-10,0.0157105451083075,0.99,3.76,2021-02-04
SNP,Estimated,2020-12-26,0.0487,0.996152569919281,2.679654,-
MUFG,Estimated,2021-06-17,0.0449,0.119898,0.235899,-
CCI,Declared,2021-03-31,0.0341573033707865,1.33,4.93,2021-03-12
FDX,Declared,2021-04-01,0.0102161100196463,0.65,2.6,2021-03-05
PTR,Estimated,2021-05-23,0.0521,0.763343045648142,1.86163,-
EQNR,Estimated,2021-05-26,0.0295,0.0366666666666666,0.56,-
CL,Estimated,2021-05-16,0.0234,0.44,1.76,-
ITW,Declared,2021-04-14,0.0225541596597091,1.14,4.42,2021-03-30
DUK,Declared,2021-03-16,0.0450987264867391,0.965,3.82,2021-02-11
ICE,Declared,2021-03-31,0.0119662768561327,0.33,1.2,2021-03-16
BAM,Declared,2021-03-31,0.0128872366790582,0.13,0.54,2021-02-25
EIPAF,Estimated,2020-11-20,0.0429,0.4694,0.4694,-
AXAHY,Estimated,2021-07-24,0.0329,0.827224,0.827224,-
SO,Declared,2021-03-08,0.0451339915373765,0.64,2.54,2021-02-12
LFC,Estimated,2021-09-02,0.0489,0.192103248172372,0.515799,-
ECL,Declared,2021-04-15,0.00917080626671761,0.48,1.89,2021-03-15
SHW,Declared,2021-03-12,0.00970103183702266,1.65,5.36,2021-02-26
FSUGY,Declared,2021-03-31,0.12164544,2.280852,2.350144,2021-03-03
MMC,Estimated,2021-05-12,0.0161,0.465,1.85,-
HCA,Declared,2021-03-31,0.0111608440388304,0.48,0.7,2021-03-16
GPN,Declared,2021-03-26,0.00393959290873276,0.195,0.78,2021-03-11
SCCO,Estimated,2021-05-24,0.0294,0.3,2.1,-
D,Declared,2021-03-20,0.0368852459016393,0.63,3.44999999999999,2021-03-04
APD,Declared,2021-05-10,0.0234723417572959,1.5,5.36,2021-03-31
EQIX,Declared,2021-03-17,0.0177067587993953,2.87,10.64,2021-02-23
ADI,Declared,2021-03-09,0.0177127454755487,0.69,2.48,2021-02-25
GLNCY,Declared,2021-06-07,0.0298136645962732,0.12,0,2021-04-22
IFNNY,Declared,2021-03-09,0.00610405498281786,0.266442,0.292437,2021-02-26
CEO,Estimated,2021-04-23,0.0705,1.14463446932551,8.3699572,-
COF,Estimated,2021-06-01,0.0083,0.0999999999999999,1,-
BMO,Declared,2021-05-26,0.0408536734944192,0.8327,3.1843,-
LUKOY,Estimated,2021-07-05,0.0735,0.0771568128963839,5.476411,-
TAK,Estimated,2021-06-11,0.0508,0.430533,0.849586,-
EMR,Declared,2021-03-10,0.0235157159487776,0.505,2.005,2021-02-11
STOHF,Estimated,2021-05-26,0.0294,0.0366666666666666,0.56,-
VLVLY,Declared,2021-04-23,0.0280526131045241,0.719269,0.529661,2021-04-05
AON,Estimated,2021-05-12,0.0079,0.46,1.8,-
MCO,Declared,2021-03-18,0.00902179053439557,0.62,2.24,2021-02-24
ETN,Declared,2021-03-30,0.023350487748675,0.76,2.92,2021-03-15
MET,Declared,2021-03-15,0.0319444444444444,0.46,1.82,2021-02-04
DBSDY,Estimated,2021-07-08,0.0368,0.541027,2.928635,-
PGR,Estimated,2021-04-15,0.057,4.5,4.9,-
NOC,Declared,2021-03-17,0.019886168826716,1.45,5.67,2021-02-26
NXPI,Estimated,2021-04-05,0.0082,0.375,1.5,-
SMFG,Estimated,2021-06-10,0.0524,0.182674,0.368065,-
NILSY,Estimated,2022-01-20,0.0526,0.592226217039006,1.649789,-
HUM,Declared,2021-04-30,0.00737521401290662,0.7,2.5,2021-03-30
HMC,Declared,2021-03-15,0.0359294831947958,0.2485422,0.8025525,-
DANOY,Estimated,2021-08-07,0.0351,0.4786599,0.4786599,-
CP,Declared,2021-04-26,0.00829410773465146,0.7383,2.6408,-
GD,Estimated,2021-05-05,0.0269,1.1,4.4,-
WM,Declared,2021-03-26,0.0207412751375236,0.575,2.18,2021-03-11
SUHJY,Declared,2021-03-25,0.0199758364312267,0.161205,0.638079,2021-03-09
EPD,Declared,2021-02-11,0.0853080568720379,0.45,1.78,2021-01-28
VOD,Estimated,2021-08-05,0.0626,0.545931,1.076031,-
KLAC,Declared,2021-03-02,0.0115670083218198,0.9,4.4,2021-02-18
CHPXY,Estimated,2021-06-26,0.0427,0.458188674038183,0.678079,-
RELX,Declared,2021-06-08,0.0399548744146445,0.46927,0.575898,2021-04-29
DG,Estimated,2021-04-19,0.0076,0.36,1.44,-
BX,Estimated,2021-05-16,0.0326,0.613770491803278,2.26,-
ITUB,Declared,2021-03-11,0.00733509933774834,0.002677,0.041861,2021-02-01
DOW,Declared,2021-03-12,0.0472095767998651,0.7,2.8,2021-02-25
KHC,Declared,2021-03-26,0.0439802089059923,0.4,1.6,2021-03-11
NEM,Declared,2021-03-18,0.0404560500183891,0.55,1.04,2021-03-03
JARLF,Estimated,2021-04-14,0.0324,0.15125,1.72,-
KMB,Declared,2021-04-05,0.0355333904776747,1.14,4.28,2021-03-04
TRI,Declared,2021-03-17,0.0186442628610887,0.405,1.52,2021-03-04
KDP,Estimated,2021-01-16,0.0147,0.15,0.449999999999999,-
ING,Declared,2021-03-03,0.0267305979760809,0.1452808,0,2021-02-23
SWGAY,Declared,2021-06-02,0.0130498659517426,0.194704,0.284002,2021-05-14
BCMXY,Estimated,2021-08-19,0.0774,1.112865,1.112865,-
PSA,Declared,2021-03-31,0.034196802598957,2,8,2021-03-15
STZ,Estimated,2021-05-23,0.014,0.75,3,-
CM,Declared,2021-04-28,0.0491613323207117,1.1328,4.3177,-
KNYJY,Declared,2021-03-26,0.0342364253393665,1.361925,0.94758,2021-03-03
WBA,Declared,2021-03-12,0.0390152305445441,0.4675,1.85,2021-02-18
TEL,Declared,2021-03-05,0.0147658232715527,0.48,1.9,2021-02-18
MURGY,Estimated,2021-05-20,0.0361,1.062124,1.062124,-
SUHJF,Estimated,2021-05-19,0.0402,0.16222982864396,0.6379,-
EOG,Declared,2021-04-30,0.0255576208178438,0.4125,1.5,2021-04-15
NGG,Estimated,2021-07-13,0.0562,0.594612978870458,3.1411,-
SYY,Declared,2021-04-23,0.0226045460253673,0.45,1.8,2021-03-31
TRP,Declared,2021-04-30,0.0644979728118292,0.6761,2.3963,-
OJSCY,Estimated,2021-07-14,0.036,0.201619882988199,0.2518487,-
JCI,Estimated,2021-04-15,0.0186,0.26,1.04,-
ROP,Estimated,2021-04-22,0.0056,0.5625,2.09999999999999,-
MCHP,Declared,2021-03-08,0.0102207953875384,0.39,1.471,2021-02-19
BAX,Declared,2021-04-01,0.0126142360664178,0.245,0.955,2021-02-25
SLB,Declared,2021-04-08,0.0179147259046936,0.125,0.875,2021-02-16
MFC,Declared,2021-03-19,0.0442369477911646,0.2203,0.8347,2021-02-22
RKT,Declared,2021-03-23,0,1.11,0,2021-03-08
BCE,Declared,2021-04-15,0.0639289055191768,0.6834,2.509,-
LHX,Declared,2021-03-26,0.0224286735198724,1.02,3.4,2021-03-11
DPSTF,Estimated,2021-09-01,0.0544,1.3592,2.7184,-
CTSH,Estimated,2021-05-26,0.0122,0.24,0.9,-
BCS,Declared,2021-04-01,0.0125617214043035,0.05546,0,2021-02-25
EA,Declared,2021-03-24,0.005075763230574,0.17,0.17,2021-03-02
VWDRY,Declared,2021-04-27,0.00731198090692124,0.459558,0.386978,2021-04-09
EBAY,Declared,2021-03-19,0.0127614321162708,0.18,0.64,2021-02-26
MFG,Estimated,2021-06-17,0.0474,0.071939,0.140718999999999,-
VIAC,Declared,2021-04-01,0.0148860288416808,0.24,0.96,2021-03-12
BK,Estimated,2021-05-12,0.0294,0.31,1.24,-
CSUAY,Estimated,2021-08-14,0.0938,0.65070808820817,0.711581,-
JMHLY,Estimated,2021-04-21,0.0326,0.15125,1.72,-
LYG,Declared,2021-06-04,0.0297205607476635,0.031801,0,2021-04-15
AIG,Declared,2021-03-30,0.0291240045506257,0.32,1.28,2021-03-15
AEP,Estimated,2020-12-10,0.0281,0.7,2.09999999999999,-
CMI,Declared,2021-03-04,0.0213270142180094,1.35,5.28299999999999,2021-02-18
BBD,Declared,2021-03-08,0.0102666666666666,0.003475,0.003651,2021-02-02
BBVA,Estimated,2020-10-24,0.0313,0.106646491575762,0.174415,-
DLR,Declared,2021-03-31,0.0344392488681065,1.16,4.48,2021-03-12
WFAFY,Declared,2021-04-15,0.0359163865546218,0.341924,0.50488,2021-02-26
DD,Declared,2021-03-15,0.0170648464163822,0.3,1.2,2021-02-26
APH,Declared,2021-04-14,0.00922978994271164,0.29,1.04,2021-03-22
NRDBY,Declared,2021-03-08,0.00940916201117318,0.084212,0.446068,2021-02-19
PH,Declared,2021-03-05,0.0122665179816002,0.88,3.52,2021-02-09
TRV,Declared,2021-03-31,0.0233676975945017,0.85,3.37,2021-03-09
A,Estimated,2021-04-27,0.006,0.194,0.734,-
PSX,Estimated,2021-06-01,0.0542,0.9,4.5,-
BNKHF,Estimated,2021-01-16,0.0425,0.0757551020408163,0.128,-
TROW,Declared,2021-03-30,0.026643641297644,1.08,3.6,2021-03-15
OVCHY,Declared,2021-07-14,0.0291723636363636,0.240672,0.634379,2021-05-12
MITSY,Estimated,2021-06-09,0.035,7.637231,15.113167,-
TT,Declared,2021-03-31,0.0154006786739754,0.59,2.12,2021-03-04
MPC,Declared,2021-03-10,0.0424752837788355,0.58,2.32,2021-02-16
GVDNY,Declared,2021-04-14,0.0188739198949441,1.437249,1.286053,2021-03-29
BF-B,Declared,2021-04-01,0.0100307348421346,0.1795,0.7024,2021-03-05
BHKLY,Estimated,2021-04-07,0.0557,0.518736470935716,3.710432,-
HPQ,Declared,2021-04-07,0.0267587159130134,0.1938,0.722399999999999,2021-03-09
SPG,Estimated,2021-04-22,0.0345,1.3,3.9,-
STM,Estimated,2021-03-22,0.0048,0.042,0.186,-
TKOMY,Estimated,2021-06-18,0.0435,0.771253048945579,2.1751863,-
PRU,Declared,2021-03-11,0.0530442804428044,1.15,4.4,2021-02-12
LYB,Declared,2021-03-15,0.0407411000097002,1.05,4.2,2021-03-05
HCMLY,Estimated,2021-06-04,0.0376,0.413095,0.413095,-
KMI,Estimated,2021-05-16,0.0714,0.2625,1.05,-
GOLD,Declared,2021-03-15,0.0192822710230316,0.09,0.31,2021-02-26
CTAS,Declared,2021-03-15,0.00924955293827465,0.75,3.51,2021-02-11
SRE,Declared,2021-04-15,0.037937575444042,1.1,4.18,2021-03-24
GIS,Declared,2021-05-03,0.037084166515179,0.51,2,2021-04-08
IFF,Estimated,2021-04-07,0.0224,0.77,3.04,-
BBDO,Declared,2021-03-08,0.0116131147540983,0.003159,0,2021-02-02
CTVA,Declared,2021-03-15,0.011517165005537,0.13,0.52,2021-02-26
MSCI,Estimated,2021-05-26,0.0089,0.78,3.7,-
AFL,Estimated,2021-06-01,0.0303,0.33,1.45,-
ATLCY,Declared,2021-05-11,0.0179358196721311,0.437634,0.769279,2021-04-28
CNQ,Estimated,2021-04-05,0.0467,0.3293,1.2742,-
TSCDY,Declared,2021-03-05,0.0494,2.086194,0.469271229,-
PAYX,Estimated,2021-05-25,0.0272,0.62,2.48,-
ALL,Declared,2021-04-01,0.0303939962476547,0.81,2.16,2021-03-03
BF-A,Declared,2021-04-01,0.0107823997597236,0.1795,0.7024,2021-03-05
DNHBY,Declared,2021-03-11,0.0507759322033898,0.9886074,0,2021-02-26
XEL,Declared,2021-04-20,0.0312339989759344,0.4575,1.72,2021-03-12
PCAR,Declared,2021-03-02,0.0140674799428508,0.32,1.6,2021-02-08
ADM,Declared,2021-03-02,0.0261576528808766,0.37,1.81,2021-02-08
JAPAY,Estimated,2021-03-16,0.0785,0.362889,0.709801,-
PPG,Declared,2021-03-12,0.0160213618157543,0.54,2.1,2021-02-18
OPYGY,Estimated,2021-05-17,0.0348,1.52654677150824,3.198821,-
VLO,Declared,2021-03-04,0.050922317485061,0.98,3.92,2021-02-10
NTR,Declared,2021-04-15,0.0340993328391401,0.46,1.8,2021-03-30
ORAN,Estimated,2021-06-24,0.0614,0.329326367925437,0.709927,-
SU,Declared,2021-03-25,0.0331923464249748,0.1648,0.8229,2021-03-03
YUM,Declared,2021-03-12,0.0193180720564087,0.5,1.88,2021-02-11
VFC,Declared,2021-03-22,0.0247693668646531,0.49,1.93,2021-03-09
MRVL,Estimated,2021-04-14,0.005,0.06,0.24,-
KBCSY,Declared,2021-06-03,0.0148028832825062,0.26697,0,2021-05-17
SVNLY,Declared,2021-04-15,0.046975619047619,0.246622,0,2021-03-25
CHT,Estimated,2021-08-13,0.0364,1.4349851,1.4349851,-
IBKR,Declared,2021-03-12,0.00552562508633789,0.1,0.4,2021-02-26
XLNX,Estimated,2021-03-02,0.0087,0.38,1.14,-
HSY,Declared,2021-03-15,0.0220803295571575,0.804,3.154,2021-02-18
MSI,Declared,2021-04-15,0.0161841805333941,0.71,2.63,2021-03-12
SSREY,Estimated,2021-04-30,0.0638,1.510481,1.510481,-
CKHUY,Estimated,2021-04-01,0.0498,0.02116205207666,0.375805,-
ADRNY,Estimated,2021-02-27,0.0414,0.250159142857142,1.093348,-
FRC,Estimated,2021-05-11,0.0049,0.2,0.8,-
TLSYY,Declared,2021-04-02,0.0322473728106755,0.115994,0.419296,2021-02-23
WELL,Estimated,2021-05-26,0.0359,0.61,2.44,-
SLF,Declared,2021-03-31,0.03632126508531,0.4364,1.6458,2021-02-26
DFS,Declared,2021-03-04,0.0187094716700329,0.44,1.76,2021-02-17
SWKS,Declared,2021-03-09,0.0112473287594196,0.5,1.88,2021-02-12
GLW,Declared,2021-03-30,0.0251046025104602,0.24,0.88,2021-02-25
WLTW,Declared,2021-04-15,0.012871646120377,0.71,2.75,2021-03-30
RSG,Declared,2021-04-15,0.0190818273655853,0.425,1.66,2021-03-31
SBAC,Declared,2021-03-26,0.00909340336299141,0.58,1.86,2021-03-09
WMB,Declared,2021-03-29,0.0718038528896672,0.41,1.6,2021-03-11
SWRAY,Estimated,2021-04-19,0.0414,0.0383224615962794,0.30319,-
ROK,Declared,2021-03-10,0.0175928970733311,1.07,4.13,2021-02-12
RMD,Declared,2021-03-18,0.00809212573918456,0.39,1.56,2021-02-10
KUBTY,Declared,2021-03-29,0.0157300840483277,0.8983451,1.6632343,-
BLL,Declared,2021-03-15,0.00702658390912284,0.15,0.6,2021-02-26
PEG,Declared,2021-03-31,0.0378970834107375,0.51,1.96,2021-03-08
SWK,Declared,2021-03-23,0.0160146419583619,0.7,2.78,2021-03-08
OTIS,Declared,2021-03-10,0.0125568984460838,0.2,0.6,2021-02-11
AME,Declared,2021-03-31,0.00678138509790624,0.2,0.72,2021-03-12
MCK,Declared,2021-04-01,0.00991033506370929,0.42,1.66,2021-03-01
ES,Declared,2021-03-31,0.0303220936084549,0.6025,2.27,2021-03-03
DHI,Estimated,2021-05-25,0.0098,0.2,0.75,-
VRSK,Declared,2021-03-31,0.00707964601769911,0.29,1.08,2021-03-12
SCMWY,Estimated,2021-06-05,0.0453,2.280738,2.280738,-
HKXCY,Declared,2021-04-07,0.0186704106476221,0.575142,0.864401,2021-03-08
BBY,Declared,2021-04-08,0.027902341803687,0.7,2.2,2021-03-17
FAST,Declared,2021-03-03,0.0241535475522967,0.28,0.75,2021-02-02
CTRYY,Estimated,2021-05-23,0.0651,0.469367168495874,1.953687,-
AWK,Declared,2021-03-02,0.015506061460389,0.55,2.7,2021-02-05
CMAKY,Estimated,2021-02-10,0.0872,0.390755487706761,0.522435,-
TU,Declared,2021-04-01,0.0485229540918163,0.2431,1.1154,-
AMP,Estimated,2021-05-26,0.0188,1.04,4.16,-
STT,Declared,2021-04-12,0.0285832073656726,0.52,2.08,2021-03-31
WCN,Declared,2021-03-17,0.00839389906848193,0.205,0.76,2021-03-02
EC,Estimated,2021-05-01,0.0725,0.455741744050275,0.8877928,-
BSBR,Declared,2021-03-10,0,0.025371,0,2021-02-17
KKR,Declared,2021-03-09,0.0118525021949078,0.135,0.405,2021-02-19
WEC,Estimated,2021-06-01,0.0319,0.6775,2.57499999999999,-
HOKCY,Estimated,2021-03-21,0.0305,0.00804728388991013,0.0450689,-
WY,Declared,2021-03-19,0.0200767640980218,0.17,0.51,2021-03-04
WLMIY,Declared,2021-05-21,0.0341546639919759,0.491865,0.975583,2021-04-22
BKR,Estimated,2021-05-19,0.0294,0.18,0.72,-
CTPCY,Estimated,2021-05-13,0.0566,0.0226225561526704,0.248338,-
HRL,Estimated,2021-05-16,0.0203,0.245,0.9425,-
YUMC,Declared,2021-03-25,0.00802139037433155,0.12,0.24,2021-03-02
ODFL,Declared,2021-03-17,0.00372491502537598,0.2,0.679999999999999,2021-03-02
PTAIY,Estimated,2021-05-12,0.0341,0.00624936830471716,0.253015,-
AVB,Declared,2021-04-15,0.0361877667140825,1.59,6.36,2021-03-30
FITB,Estimated,2021-04-15,0.0311,0.27,1.08,-
LEN,Estimated,2021-05-12,0.009,0.25,0.75,-
TSN,Declared,2021-03-15,0.0263041229496083,0.445,1.705,2021-02-26
OXY,Declared,2021-04-15,0.0015031942878617,0.01,0.82,2021-03-09
MPLX,Declared,2021-02-12,0.116921768707483,0.6875,2.75,2021-02-05
EQR,Estimated,2021-04-15,0.0368,0.6025,2.41,-
CLPHY,Declared,2021-03-25,0.0636273190621814,0.156046,0.3969811,2021-03-05
MGA,Declared,2021-03-19,0.0204275534441805,0.43,1.6,2021-03-04
KR,Estimated,2021-06-01,0.0217,0.18,0.7,-
PXD,Declared,2021-04-14,0.0150770680487312,0.56,2.2,2021-03-30
